,date,rainfall,temperature,humidity,pressure,wind_speed,river_discharge,ward,district,city
1911,2025-09-01,10.4,27.0,88,1006.0,8.6,16.78,Song Phuong,Hoai Duc,Ha Noi
1912,2025-09-02,0.5,28.1,85,1005.6,15.4,9.0,Song Phuong,Hoai Duc,Ha Noi
1913,2025-09-03,0.3,28.9,81,1005.7,12.9,5.4,Song Phuong,Hoai Duc,Ha Noi
1914,2025-09-04,0.0,29.3,78,1005.3,13.6,3.91,Song Phuong,Hoai Duc,Ha Noi
1915,2025-09-05,0.0,29.7,78,1005.5,13.0,2.87,Song Phuong,Hoai Duc,Ha Noi
1916,2025-09-06,0.4,29.4,82,1006.4,12.3,2.13,Song Phuong,Hoai Duc,Ha Noi
1917,2025-09-07,0.2,29.8,76,1004.9,6.3,1.6,Song Phuong,Hoai Duc,Ha Noi
1918,2025-09-08,0.0,30.3,73,1003.5,15.0,1.26,Song Phuong,Hoai Duc,Ha Noi
1919,2025-09-09,2.2,28.6,85,1004.9,13.2,0.95,Song Phuong,Hoai Duc,Ha Noi
1920,2025-09-10,9.9,28.1,87,1006.4,8.1,0.84,Song Phuong,Hoai Duc,Ha Noi
1921,2025-09-11,14.5,27.4,88,1007.3,12.3,2.66,Song Phuong,Hoai Duc,Ha Noi
1922,2025-09-12,7.6,27.2,88,1008.3,16.5,3.57,Song Phuong,Hoai Duc,Ha Noi
1923,2025-09-13,0.6,28.6,82,1008.7,11.9,3.23,Song Phuong,Hoai Duc,Ha Noi
1924,2025-09-14,0.8,28.3,83,1008.8,9.8,2.51,Song Phuong,Hoai Duc,Ha Noi
1925,2025-09-15,4.8,27.4,85,1009.3,14.3,1.93,Song Phuong,Hoai Duc,Ha Noi
1926,2025-09-16,11.0,27.8,83,1009.2,9.0,2.32,Song Phuong,Hoai Duc,Ha Noi
1927,2025-09-17,10.1,27.3,85,1007.9,15.5,2.25,Song Phuong,Hoai Duc,Ha Noi
1928,2025-09-18,22.9,26.7,87,1008.0,12.8,3.67,Song Phuong,Hoai Duc,Ha Noi
1929,2025-09-19,6.3,27.7,84,1007.5,12.4,4.08,Song Phuong,Hoai Duc,Ha Noi
1930,2025-09-20,0.1,29.5,76,1005.5,12.6,2.64,Song Phuong,Hoai Duc,Ha Noi
1931,2025-09-21,6.0,28.9,82,1004.9,10.7,1.86,Song Phuong,Hoai Duc,Ha Noi
1932,2025-09-22,17.1,26.9,87,1006.5,12.5,2.82,Song Phuong,Hoai Duc,Ha Noi
1933,2025-09-23,0.8,27.9,81,1004.7,10.7,3.61,Song Phuong,Hoai Duc,Ha Noi
1934,2025-09-24,0.2,28.9,73,1001.9,19.3,2.07,Song Phuong,Hoai Duc,Ha Noi
1935,2025-09-25,19.6,26.3,82,1002.3,18.7,1.07,Song Phuong,Hoai Duc,Ha Noi
1936,2025-09-26,8.6,25.5,90,1009.2,10.5,2.3,Song Phuong,Hoai Duc,Ha Noi
1937,2025-09-27,24.8,26.7,87,1011.1,12.5,4.62,Song Phuong,Hoai Duc,Ha Noi
1938,2025-09-28,48.8,26.1,88,1007.9,20.9,7.2,Song Phuong,Hoai Duc,Ha Noi
1939,2025-09-29,73.1,24.7,94,1005.1,34.8,21.23,Song Phuong,Hoai Duc,Ha Noi
1940,2025-09-30,41.9,25.2,94,1009.0,17.8,30.05,Song Phuong,Hoai Duc,Ha Noi
1941,2025-10-01,3.9,26.2,90,1010.4,10.9,20.38,Song Phuong,Hoai Duc,Ha Noi
1942,2025-10-02,0.0,28.1,81,1010.2,11.9,18.54,Song Phuong,Hoai Duc,Ha Noi
1943,2025-10-03,0.0,28.1,79,1009.9,12.8,12.96,Song Phuong,Hoai Duc,Ha Noi
1944,2025-10-04,0.3,27.9,86,1009.6,8.5,9.35,Song Phuong,Hoai Duc,Ha Noi
1945,2025-10-05,0.1,28.4,85,1005.6,10.6,6.73,Song Phuong,Hoai Duc,Ha Noi
1946,2025-10-06,35.3,25.8,89,1003.8,18.7,6.18,Song Phuong,Hoai Duc,Ha Noi
1947,2025-10-07,109.8,24.2,96,1010.5,16.1,31.89,Song Phuong,Hoai Duc,Ha Noi
1948,2025-10-08,9.9,26.2,86,1012.0,9.1,26.8,Song Phuong,Hoai Duc,Ha Noi
1949,2025-10-09,0.2,26.9,83,1011.2,8.3,11.85,Song Phuong,Hoai Duc,Ha Noi
1950,2025-10-10,0.9,27.5,81,1010.5,8.5,7.32,Song Phuong,Hoai Duc,Ha Noi
1951,2025-10-11,3.5,26.3,89,1010.0,10.0,5.19,Song Phuong,Hoai Duc,Ha Noi
1952,2025-10-12,0.7,27.9,82,1009.2,7.8,3.81,Song Phuong,Hoai Duc,Ha Noi
1953,2025-10-13,12.8,26.6,89,1010.0,9.5,2.84,Song Phuong,Hoai Duc,Ha Noi
1954,2025-10-14,31.3,24.9,93,1010.5,14.0,6.01,Song Phuong,Hoai Duc,Ha Noi
1955,2025-10-15,16.3,25.5,90,1011.1,14.6,7.53,Song Phuong,Hoai Duc,Ha Noi
1956,2025-10-16,9.2,26.1,87,1012.7,11.3,5.78,Song Phuong,Hoai Duc,Ha Noi
1957,2025-10-17,1.2,27.1,82,1012.8,9.4,4.14,Song Phuong,Hoai Duc,Ha Noi
1958,2025-10-18,0.5,27.3,81,1012.0,7.0,2.63,Song Phuong,Hoai Duc,Ha Noi
1959,2025-10-19,11.5,26.3,85,1011.9,16.8,1.84,Song Phuong,Hoai Duc,Ha Noi
1960,2025-10-20,0.3,25.8,74,1012.9,18.9,1.57,Song Phuong,Hoai Duc,Ha Noi
1961,2025-10-21,0.0,24.5,60,1015.2,27.1,1.31,Song Phuong,Hoai Duc,Ha Noi
1962,2025-10-22,0.0,22.9,56,1017.1,20.8,1.06,Song Phuong,Hoai Duc,Ha Noi
1963,2025-10-23,1.6,20.1,65,1018.9,17.6,0.8,Song Phuong,Hoai Duc,Ha Noi
1964,2025-10-24,1.4,20.5,79,1018.3,13.2,0.61,Song Phuong,Hoai Duc,Ha Noi
1965,2025-10-25,0.0,22.2,79,1016.3,10.2,0.52,Song Phuong,Hoai Duc,Ha Noi
1966,2025-10-26,0.0,24.0,72,1016.0,13.1,0.49,Song Phuong,Hoai Duc,Ha Noi
1967,2025-10-27,0.0,23.7,67,1016.4,15.2,0.4,Song Phuong,Hoai Duc,Ha Noi
1968,2025-10-28,0.0,24.1,67,1016.2,15.5,0.37,Song Phuong,Hoai Duc,Ha Noi
1969,2025-10-29,0.0,24.0,68,1014.9,11.6,0.35,Song Phuong,Hoai Duc,Ha Noi
1970,2025-10-30,0.4,24.2,82,1014.9,9.3,0.34,Song Phuong,Hoai Duc,Ha Noi
1971,2025-10-31,5.5,23.5,86,1015.6,14.0,0.38,Song Phuong,Hoai Duc,Ha Noi
1972,2025-11-01,7.0,21.1,84,1016.8,15.1,1.55,Song Phuong,Hoai Duc,Ha Noi
1973,2025-11-02,2.4,20.5,81,1017.3,13.4,2.24,Song Phuong,Hoai Duc,Ha Noi
1974,2025-11-03,2.4,19.8,78,1017.5,15.7,1.78,Song Phuong,Hoai Duc,Ha Noi
1975,2025-11-04,1.1,19.7,82,1016.8,14.6,1.72,Song Phuong,Hoai Duc,Ha Noi
1976,2025-11-05,0.0,21.1,77,1013.6,8.9,1.5,Song Phuong,Hoai Duc,Ha Noi
1977,2025-11-06,0.0,22.1,86,1011.9,8.9,0.99,Song Phuong,Hoai Duc,Ha Noi
1978,2025-11-07,3.4,23.2,90,1011.0,12.1,0.73,Song Phuong,Hoai Duc,Ha Noi
1979,2025-11-08,15.3,24.7,91,1011.8,13.8,2.12,Song Phuong,Hoai Duc,Ha Noi
1980,2025-11-09,53.2,24.5,94,1011.4,9.2,3.21,Song Phuong,Hoai Duc,Ha Noi
1981,2025-11-10,1.5,24.6,83,1010.1,11.9,5.59,Song Phuong,Hoai Duc,Ha Noi
1982,2025-11-11,0.5,22.7,76,1011.4,11.7,4.86,Song Phuong,Hoai Duc,Ha Noi
1983,2025-11-12,0.1,22.5,68,1014.6,14.5,2.65,Song Phuong,Hoai Duc,Ha Noi
1984,2025-11-13,0.0,22.5,64,1017.0,15.0,1.86,Song Phuong,Hoai Duc,Ha Noi
1985,2025-11-14,0.0,21.0,67,1017.0,10.4,1.34,Song Phuong,Hoai Duc,Ha Noi
1986,2025-11-15,0.0,21.0,74,1018.5,10.7,0.99,Song Phuong,Hoai Duc,Ha Noi
1987,2025-11-16,0.0,22.1,80,1019.1,9.7,0.74,Song Phuong,Hoai Duc,Ha Noi
1988,2025-11-17,1.4,22.6,86,1018.9,9.1,0.56,Song Phuong,Hoai Duc,Ha Noi
1989,2025-11-18,18.5,18.1,91,1023.2,23.9,1.26,Song Phuong,Hoai Duc,Ha Noi
1990,2025-11-19,1.3,15.0,72,1026.9,23.4,3.67,Song Phuong,Hoai Duc,Ha Noi
1991,2025-11-20,0.0,17.0,68,1024.2,15.1,3.23,Song Phuong,Hoai Duc,Ha Noi
1992,2025-11-21,0.0,18.1,65,1023.2,17.1,2.28,Song Phuong,Hoai Duc,Ha Noi
1993,2025-11-22,0.0,19.1,63,1020.5,8.8,0.97,Song Phuong,Hoai Duc,Ha Noi
1994,2025-11-23,0.0,20.2,69,1018.8,8.9,0.71,Song Phuong,Hoai Duc,Ha Noi
1995,2025-11-24,0.0,19.8,73,1019.4,12.9,0.53,Song Phuong,Hoai Duc,Ha Noi
1996,2025-11-25,0.0,19.4,58,1020.6,20.3,0.4,Song Phuong,Hoai Duc,Ha Noi
1997,2025-11-26,0.0,17.4,66,1019.7,10.9,0.35,Song Phuong,Hoai Duc,Ha Noi
1998,2025-11-27,0.0,17.4,64,1022.8,21.1,0.33,Song Phuong,Hoai Duc,Ha Noi
1999,2025-11-28,0.0,16.7,66,1018.3,10.1,0.31,Song Phuong,Hoai Duc,Ha Noi
2000,2025-11-29,0.0,16.4,74,1014.8,8.0,0.3,Song Phuong,Hoai Duc,Ha Noi
2001,2025-11-30,0.0,18.1,77,1013.2,8.6,0.3,Song Phuong,Hoai Duc,Ha Noi
2002,2025-12-01,2.4,19.6,86,1013.6,11.8,0.3,Song Phuong,Hoai Duc,Ha Noi
2003,2025-12-02,0.7,22.3,85,1012.6,7.6,0.28,Song Phuong,Hoai Duc,Ha Noi
2004,2025-12-03,2.1,21.3,78,1017.9,18.6,0.47,Song Phuong,Hoai Duc,Ha Noi
2005,2025-12-04,0.0,20.4,71,1018.7,8.0,0.59,Song Phuong,Hoai Duc,Ha Noi
2006,2025-12-05,0.9,19.4,80,1020.1,11.4,0.28,Song Phuong,Hoai Duc,Ha Noi
2007,2025-12-06,0.0,20.1,75,1018.1,12.7,0.31,Song Phuong,Hoai Duc,Ha Noi
2008,2025-12-07,0.6,21.1,85,1017.7,9.0,0.3,Song Phuong,Hoai Duc,Ha Noi
2009,2025-12-08,2.5,20.8,78,1019.4,14.7,0.37,Song Phuong,Hoai Duc,Ha Noi
2010,2025-12-09,0.0,20.1,79,1018.0,9.5,0.39,Song Phuong,Hoai Duc,Ha Noi
2011,2025-12-10,0.0,20.9,79,1016.8,6.5,0.33,Song Phuong,Hoai Duc,Ha Noi
2012,2025-12-11,0.0,20.7,84,1017.0,7.3,0.31,Song Phuong,Hoai Duc,Ha Noi
2013,2025-12-12,3.2,22.0,82,1014.5,9.6,0.34,Song Phuong,Hoai Duc,Ha Noi
2014,2025-12-13,12.0,20.7,86,1018.0,20.9,1.55,Song Phuong,Hoai Duc,Ha Noi
2015,2025-12-14,0.0,18.0,62,1021.5,15.5,3.94,Song Phuong,Hoai Duc,Ha Noi
2016,2025-12-15,0.0,17.7,75,1018.6,9.4,3.35,Song Phuong,Hoai Duc,Ha Noi
2017,2025-12-16,0.0,19.0,82,1017.5,5.9,1.75,Song Phuong,Hoai Duc,Ha Noi
2018,2025-12-17,0.7,20.3,84,1019.6,11.2,1.2,Song Phuong,Hoai Duc,Ha Noi
2019,2025-12-18,0.1,20.2,80,1018.0,10.1,0.89,Song Phuong,Hoai Duc,Ha Noi
2020,2025-12-19,0.0,19.9,82,1013.9,14.1,0.78,Song Phuong,Hoai Duc,Ha Noi
2021,2025-12-20,1.5,21.4,86,1014.6,11.0,0.64,Song Phuong,Hoai Duc,Ha Noi
2022,2025-12-21,1.1,21.1,85,1016.9,14.7,0.52,Song Phuong,Hoai Duc,Ha Noi
2023,2025-12-22,0.8,21.3,85,1014.4,16.3,0.47,Song Phuong,Hoai Duc,Ha Noi
2024,2025-12-23,0.0,22.7,84,1012.7,17.8,0.36,Song Phuong,Hoai Duc,Ha Noi
2025,2025-12-24,1.7,22.6,84,1012.2,23.3,0.33,Song Phuong,Hoai Duc,Ha Noi
2026,2025-12-25,2.1,17.7,60,1019.6,24.9,0.5,Song Phuong,Hoai Duc,Ha Noi
2027,2025-12-26,0.0,16.1,55,1019.8,11.5,0.63,Song Phuong,Hoai Duc,Ha Noi
2028,2025-12-27,0.0,15.9,66,1019.1,10.4,0.45,Song Phuong,Hoai Duc,Ha Noi
2029,2025-12-28,0.0,17.2,71,1017.9,5.9,0.36,Song Phuong,Hoai Duc,Ha Noi
2030,2025-12-29,0.0,19.7,74,1014.7,16.3,0.33,Song Phuong,Hoai Duc,Ha Noi
2031,2025-12-30,0.5,20.7,79,1013.6,13.8,0.31,Song Phuong,Hoai Duc,Ha Noi
2032,2025-12-31,0.1,21.1,82,1010.6,16.0,0.3,Song Phuong,Hoai Duc,Ha Noi
2033,2026-01-01,5.5,19.8,86,1014.8,19.7,0.41,Song Phuong,Hoai Duc,Ha Noi
2034,2026-01-02,2.0,15.9,73,1021.5,15.8,1.11,Song Phuong,Hoai Duc,Ha Noi
2035,2026-01-03,0.0,16.3,70,1021.6,8.0,1.16,Song Phuong,Hoai Duc,Ha Noi
2036,2026-01-04,0.0,17.7,81,1019.0,13.3,0.8,Song Phuong,Hoai Duc,Ha Noi
2037,2026-01-05,1.1,16.0,78,1021.0,20.5,0.64,Song Phuong,Hoai Duc,Ha Noi
2038,2026-01-06,0.1,14.2,68,1025.5,15.3,0.5,Song Phuong,Hoai Duc,Ha Noi
2039,2026-01-07,0.0,14.4,69,1025.5,12.8,0.42,Song Phuong,Hoai Duc,Ha Noi
2040,2026-01-08,0.0,14.4,66,1025.2,7.2,0.34,Song Phuong,Hoai Duc,Ha Noi
2041,2026-01-09,0.0,15.0,68,1021.8,9.6,0.31,Song Phuong,Hoai Duc,Ha Noi
2042,2026-01-10,0.0,15.5,73,1019.8,7.5,0.31,Song Phuong,Hoai Duc,Ha Noi
2043,2026-01-11,0.0,16.8,67,1022.1,11.1,0.3,Song Phuong,Hoai Duc,Ha Noi
2044,2026-01-12,0.0,17.1,76,1019.4,9.9,0.28,Song Phuong,Hoai Duc,Ha Noi
2045,2026-01-13,0.0,18.0,72,1018.3,13.2,0.28,Song Phuong,Hoai Duc,Ha Noi
2046,2026-01-14,0.0,19.4,75,1014.8,15.5,0.28,Song Phuong,Hoai Duc,Ha Noi
2047,2026-01-15,0.0,19.9,82,1015.0,11.2,0.26,Song Phuong,Hoai Duc,Ha Noi
2048,2026-01-16,0.0,21.5,80,1011.4,14.9,0.26,Song Phuong,Hoai Duc,Ha Noi
2049,2026-01-17,4.2,21.0,87,1011.1,13.6,0.26,Song Phuong,Hoai Duc,Ha Noi
2050,2026-01-18,0.6,21.4,83,1010.2,17.3,0.33,Song Phuong,Hoai Duc,Ha Noi
2051,2026-01-19,0.2,22.0,80,1010.6,18.9,0.36,Song Phuong,Hoai Duc,Ha Noi
2052,2026-01-20,2.1,22.2,83,1013.1,17.4,0.26,Song Phuong,Hoai Duc,Ha Noi
2053,2026-01-21,4.8,16.8,75,1018.3,18.3,0.49,Song Phuong,Hoai Duc,Ha Noi
2054,2026-01-22,1.7,11.4,74,1023.6,17.3,0.66,Song Phuong,Hoai Duc,Ha Noi
2055,2026-01-23,0.0,12.6,69,1023.6,9.7,0.85,Song Phuong,Hoai Duc,Ha Noi
2056,2026-01-24,0.1,13.8,79,1021.2,6.5,0.7,Song Phuong,Hoai Duc,Ha Noi
2057,2026-01-25,0.0,17.1,85,1016.5,9.5,0.53,Song Phuong,Hoai Duc,Ha Noi
2058,2026-01-26,0.5,18.6,89,1018.2,9.8,0.41,Song Phuong,Hoai Duc,Ha Noi
2059,2026-01-27,0.4,19.8,84,1018.7,9.3,0.37,Song Phuong,Hoai Duc,Ha Noi
2060,2026-01-28,0.0,19.1,77,1018.6,16.9,0.33,Song Phuong,Hoai Duc,Ha Noi
2061,2026-01-29,0.2,20.3,81,1015.4,18.1,0.34,Song Phuong,Hoai Duc,Ha Noi
2062,2026-01-30,0.3,21.7,82,1016.0,17.4,0.31,Song Phuong,Hoai Duc,Ha Noi
2063,2026-01-31,1.0,19.1,77,1019.8,19.4,0.3,Song Phuong,Hoai Duc,Ha Noi
2064,2026-02-01,0.0,17.7,68,1021.3,9.8,0.3,Song Phuong,Hoai Duc,Ha Noi
2065,2026-02-02,0.5,16.1,73,1023.3,10.1,0.3,Song Phuong,Hoai Duc,Ha Noi
2066,2026-02-03,0.0,16.9,78,1021.8,9.4,0.28,Song Phuong,Hoai Duc,Ha Noi
2067,2026-02-04,0.3,18.9,82,1016.6,11.9,0.28,Song Phuong,Hoai Duc,Ha Noi
2068,2026-02-05,0.3,20.9,85,1013.3,13.1,0.25,Song Phuong,Hoai Duc,Ha Noi
2069,2026-02-06,0.4,22.9,83,1012.6,15.5,0.25,Song Phuong,Hoai Duc,Ha Noi
2070,2026-02-07,2.1,22.4,82,1014.7,17.5,0.25,Song Phuong,Hoai Duc,Ha Noi
2071,2026-02-08,15.2,15.4,89,1021.5,22.1,0.69,Song Phuong,Hoai Duc,Ha Noi
2072,2026-02-09,4.7,13.6,87,1020.1,10.6,2.0,Song Phuong,Hoai Duc,Ha Noi
2073,2026-02-10,0.0,17.5,82,1017.4,9.7,1.69,Song Phuong,Hoai Duc,Ha Noi
2074,2026-02-11,2.4,18.5,85,1019.1,11.2,0.91,Song Phuong,Hoai Duc,Ha Noi
2075,2026-02-12,0.2,19.8,84,1016.4,15.1,0.56,Song Phuong,Hoai Duc,Ha Noi
2076,2026-02-13,0.4,22.0,84,1014.0,14.4,0.47,Song Phuong,Hoai Duc,Ha Noi
2077,2026-02-14,0.2,22.7,81,1013.7,15.8,0.34,Song Phuong,Hoai Duc,Ha Noi
2078,2026-02-15,0.1,23.3,79,1012.4,16.9,0.25,Song Phuong,Hoai Duc,Ha Noi
2079,2026-02-16,0.3,23.5,78,1012.6,15.2,0.22,Song Phuong,Hoai Duc,Ha Noi
2080,2026-02-17,2.2,22.7,83,1015.6,13.6,0.22,Song Phuong,Hoai Duc,Ha Noi
2081,2026-02-18,2.1,19.0,79,1019.4,12.6,0.31,Song Phuong,Hoai Duc,Ha Noi
2082,2026-02-19,1.3,19.4,80,1020.6,11.5,0.34,Song Phuong,Hoai Duc,Ha Noi
2083,2026-02-20,0.3,20.1,75,1018.3,15.0,0.19,Song Phuong,Hoai Duc,Ha Noi
2084,2026-02-21,0.0,21.5,82,1009.0,17.9,0.19,Song Phuong,Hoai Duc,Ha Noi
2085,2026-02-22,3.1,22.1,90,1008.5,14.2,0.19,Song Phuong,Hoai Duc,Ha Noi
2086,2026-02-23,0.4,23.5,83,1008.8,18.9,0.25,Song Phuong,Hoai Duc,Ha Noi
2087,2026-02-24,0.2,23.4,87,1010.3,15.0,0.28,Song Phuong,Hoai Duc,Ha Noi
2088,2026-02-25,11.8,23.4,87,1011.0,13.7,0.22,Song Phuong,Hoai Duc,Ha Noi
2089,2026-02-26,3.0,22.3,89,1008.5,14.6,0.66,Song Phuong,Hoai Duc,Ha Noi
2090,2026-02-27,0.0,23.6,83,1005.7,18.1,1.16,Song Phuong,Hoai Duc,Ha Noi
2091,2026-02-28,1.0,25.6,85,1003.9,17.6,1.0,Song Phuong,Hoai Duc,Ha Noi
2092,2026-03-01,0.1,26.0,84,1004.0,17.1,0.59,Song Phuong,Hoai Duc,Ha Noi
2093,2026-03-02,0.5,26.3,85,1006.0,14.8,0.53,Song Phuong,Hoai Duc,Ha Noi
2094,2026-03-03,2.5,22.1,71,1012.0,17.2,1.38,Song Phuong,Hoai Duc,Ha Noi
2095,2026-03-04,0.1,19.7,65,1015.6,14.2,1.4,Song Phuong,Hoai Duc,Ha Noi
2096,2026-03-05,0.1,19.9,79,1014.9,8.3,1.65,Song Phuong,Hoai Duc,Ha Noi
2097,2026-03-06,0.2,21.5,78,1015.8,14.1,1.28,Song Phuong,Hoai Duc,Ha Noi
2098,2026-03-07,0.3,21.4,80,1015.9,17.7,1.03,Song Phuong,Hoai Duc,Ha Noi
2099,2026-03-08,2.5,21.8,84,1015.7,17.9,0.91,Song Phuong,Hoai Duc,Ha Noi
2100,2026-03-09,5.8,20.1,81,1020.0,25.6,0.81,Song Phuong,Hoai Duc,Ha Noi
2101,2026-03-10,0.0,19.3,60,1021.7,19.8,1.09,Song Phuong,Hoai Duc,Ha Noi
2102,2026-03-11,0.1,18.6,79,1018.0,8.0,1.12,Song Phuong,Hoai Duc,Ha Noi
2103,2026-03-12,0.1,20.5,75,1017.4,11.7,0.78,Song Phuong,Hoai Duc,Ha Noi
2104,2026-03-13,0.2,20.6,71,1018.7,14.6,0.69,Song Phuong,Hoai Duc,Ha Noi
2105,2026-03-14,1.2,20.8,77,1018.9,13.8,0.63,Song Phuong,Hoai Duc,Ha Noi
2106,2026-03-15,0.7,21.4,82,1017.7,14.8,0.59,Song Phuong,Hoai Duc,Ha Noi
2107,2026-03-16,0.1,22.6,79,1014.2,19.2,0.56,Song Phuong,Hoai Duc,Ha Noi
2108,2026-03-17,0.0,23.4,78,1011.9,23.3,0.53,Song Phuong,Hoai Duc,Ha Noi
2109,2026-03-18,0.1,23.9,82,1012.0,18.2,0.5,Song Phuong,Hoai Duc,Ha Noi
2110,2026-03-19,0.2,24.5,82,1010.4,21.3,0.5,Song Phuong,Hoai Duc,Ha Noi
2111,2026-03-20,0.4,24.5,84,1010.7,18.8,0.47,Song Phuong,Hoai Duc,Ha Noi
2112,2026-03-21,0.4,24.1,82,1012.6,20.7,0.47,Song Phuong,Hoai Duc,Ha Noi
2113,2026-03-22,8.9,24.7,81,1011.3,20.5,0.59,Song Phuong,Hoai Duc,Ha Noi
2114,2026-03-23,0.6,25.1,82,1010.0,20.7,0.56,Song Phuong,Hoai Duc,Ha Noi
2115,2026-03-24,0.5,25.7,81,1009.0,17.1,0.47,Song Phuong,Hoai Duc,Ha Noi
2116,2026-03-25,0.2,25.7,80,1009.5,20.1,0.47,Song Phuong,Hoai Duc,Ha Noi
2117,2026-03-26,0.0,26.6,80,1007.8,17.2,0.44,Song Phuong,Hoai Duc,Ha Noi
2118,2026-03-27,1.2,26.3,83,1007.0,17.9,0.44,Song Phuong,Hoai Duc,Ha Noi
2119,2026-03-28,0.3,26.5,82,1007.2,15.7,0.44,Song Phuong,Hoai Duc,Ha Noi
2120,2026-03-29,2.4,26.9,83,1006.0,23.2,0.47,Song Phuong,Hoai Duc,Ha Noi
2121,2026-03-30,0.1,27.8,80,1004.5,20.1,0.63,Song Phuong,Hoai Duc,Ha Noi
2122,2026-03-31,0.1,29.0,74,1004.5,23.6,0.59,Song Phuong,Hoai Duc,Ha Noi
2123,2026-04-01,0.6,25.1,72,1010.1,16.0,0.63,Song Phuong,Hoai Duc,Ha Noi
2124,2026-04-02,0.3,25.4,81,1008.1,18.8,0.66,Song Phuong,Hoai Duc,Ha Noi
2125,2026-04-03,0.1,28.1,81,1003.6,12.3,0.75,Song Phuong,Hoai Duc,Ha Noi
2126,2026-04-04,0.0,27.0,74,1004.3,18.1,0.63,Song Phuong,Hoai Duc,Ha Noi
2127,2026-04-05,0.2,27.6,79,1001.4,19.0,0.59,Song Phuong,Hoai Duc,Ha Noi
2128,2026-04-06,0.0,30.2,74,1000.7,11.4,0.5,Song Phuong,Hoai Duc,Ha Noi
2129,2026-04-07,0.0,30.7,69,1001.8,14.5,0.47,Song Phuong,Hoai Duc,Ha Noi
2130,2026-04-08,0.0,29.9,74,1003.3,18.5,0.44,Song Phuong,Hoai Duc,Ha Noi
2131,2026-04-09,0.1,29.4,77,1004.0,16.1,0.44,Song Phuong,Hoai Duc,Ha Noi
2132,2026-04-10,0.0,29.6,78,1002.8,16.2,0.41,Song Phuong,Hoai Duc,Ha Noi
2133,2026-04-11,0.0,30.2,71,1001.0,13.6,0.41,Song Phuong,Hoai Duc,Ha Noi
2134,2026-04-12,0.0,29.7,70,1000.9,11.4,0.41,Song Phuong,Hoai Duc,Ha Noi
2135,2026-04-13,0.0,29.3,79,1003.6,14.7,0.37,Song Phuong,Hoai Duc,Ha Noi
2136,2026-04-14,0.0,29.2,82,1004.5,14.2,0.37,Song Phuong,Hoai Duc,Ha Noi
2137,2026-04-15,0.1,29.1,82,1003.9,16.9,0.37,Song Phuong,Hoai Duc,Ha Noi
2138,2026-04-16,0.6,28.9,82,1005.2,16.7,0.37,Song Phuong,Hoai Duc,Ha Noi
2139,2026-04-17,53.1,26.1,89,1008.3,21.3,0.41,Song Phuong,Hoai Duc,Ha Noi
2140,2026-04-18,4.1,25.2,86,1009.8,16.3,4.0,Song Phuong,Hoai Duc,Ha Noi
2141,2026-04-19,1.0,26.0,83,1008.3,17.0,4.47,Song Phuong,Hoai Duc,Ha Noi
2142,2026-04-20,0.1,26.0,84,1006.5,17.7,1.9,Song Phuong,Hoai Duc,Ha Noi
2143,2026-04-21,0.0,27.8,81,1004.1,22.8,1.16,Song Phuong,Hoai Duc,Ha Noi
2144,2026-04-22,0.0,28.9,82,1002.9,18.1,1.03,Song Phuong,Hoai Duc,Ha Noi
2145,2026-04-23,19.1,24.9,81,1006.9,24.6,1.31,Song Phuong,Hoai Duc,Ha Noi
2146,2026-04-24,10.4,24.6,81,1010.5,9.8,1.69,Song Phuong,Hoai Duc,Ha Noi
2147,2026-04-25,0.2,25.8,77,1012.6,13.1,2.75,Song Phuong,Hoai Duc,Ha Noi
2148,2026-04-26,0.7,25.6,82,1010.1,13.6,1.75,Song Phuong,Hoai Duc,Ha Noi
2149,2026-04-27,0.0,26.8,81,1006.5,18.4,1.31,Song Phuong,Hoai Duc,Ha Noi
2150,2026-04-28,0.0,27.5,82,1004.7,15.4,1.03,Song Phuong,Hoai Duc,Ha Noi
2151,2026-04-29,17.0,25.0,72,1010.9,21.9,1.56,Song Phuong,Hoai Duc,Ha Noi
2152,2026-04-30,0.0,23.4,65,1014.3,11.5,1.22,Song Phuong,Hoai Duc,Ha Noi
2153,2026-05-01,0.0,24.4,77,1010.6,17.3,1.06,Song Phuong,Hoai Duc,Ha Noi
2154,2026-05-02,1.4,25.9,84,1007.6,14.1,0.85,Song Phuong,Hoai Duc,Ha Noi
2155,2026-05-03,23.6,25.0,89,1009.3,15.4,0.78,Song Phuong,Hoai Duc,Ha Noi
2156,2026-05-04,10.8,23.6,74,1014.0,16.2,4.71,Song Phuong,Hoai Duc,Ha Noi
2157,2026-05-05,0.0,25.4,77,1010.7,16.1,3.81,Song Phuong,Hoai Duc,Ha Noi
2158,2026-05-06,0.0,27.1,79,1007.1,19.3,2.34,Song Phuong,Hoai Duc,Ha Noi
2159,2026-05-07,16.8,26.8,88,1007.8,15.0,1.65,Song Phuong,Hoai Duc,Ha Noi
2160,2026-05-08,26.5,26.0,85,1011.3,14.0,3.12,Song Phuong,Hoai Duc,Ha Noi
2161,2026-05-09,4.7,25.0,81,1013.0,11.2,5.62,Song Phuong,Hoai Duc,Ha Noi
2162,2026-05-10,0.3,24.6,80,1012.6,8.8,2.31,Song Phuong,Hoai Duc,Ha Noi
2163,2026-05-11,0.3,26.8,81,1010.2,11.3,1.62,Song Phuong,Hoai Duc,Ha Noi
