feature,importance
rainfall_3days,0.7739340533217274
river_discharge,0.11858132548218027
rainfall_7days,0.0872785535430031
river_discharge_change,0.010736828421918148
rainfall,0.008005465329763333
wind_speed,0.000344679903051712
humidity,0.0003235831611345633
pressure,0.0002849468707007112
temperature,0.00028138255466565737
month,0.0001868956604486921
season_Dry,2.125235708789293e-05
season_Rainy,2.1033394318539186e-05
