location_id,location,date,rainfall,temperature,humidity,pressure,wind_speed,river_discharge,month,season,rainfall_3days,rainfall_7days,river_discharge_change
1,Hue,2001-01-01,2.5999999046325684,20.200000762939453,82.0,1013.2999877929688,9.600000381469727,1.559999942779541,1,Dry,2.5999999046325684,2.5999999046325684,0.0
1,Hue,2001-01-02,0.0,21.100000381469727,82.0,1011.7999877929688,14.100000381469727,1.090000033378601,1,Dry,2.5999999046325684,2.5999999046325684,-0.46999990940093994
1,Hue,2001-01-03,1.0,21.600000381469727,85.0,1012.9000244140625,12.699999809265137,0.75,1,Dry,3.5999999046325684,3.5999999046325684,-0.3400000333786011
1,Hue,2001-01-04,6.699999809265137,21.200000762939453,91.0,1014.2000122070312,15.5,0.7200000286102295,1,Dry,7.699999809265137,10.299999713897705,-0.029999971389770508
1,Hue,2001-01-05,4.800000190734863,22.100000381469727,90.0,1014.0,14.5,0.9200000166893005,1,Dry,12.5,15.099999904632568,0.19999998807907104
1,Hue,2001-01-06,0.10000000149011612,22.899999618530273,87.0,1013.0,14.399999618530273,0.75,1,Dry,11.600000001490116,15.199999906122684,-0.17000001668930054
1,Hue,2001-01-07,0.10000000149011612,23.200000762939453,87.0,1011.5,14.899999618530273,0.5600000023841858,1,Dry,5.0000001937150955,15.2999999076128,-0.1899999976158142
1,Hue,2001-01-08,0.0,23.399999618530273,86.0,1009.5,11.5,0.4699999988079071,1,Dry,0.20000000298023224,12.700000002980232,-0.09000000357627869
1,Hue,2001-01-09,0.0,23.0,88.0,1010.2999877929688,15.199999809265137,0.41999998688697815,1,Dry,0.10000000149011612,12.700000002980232,-0.050000011920928955
1,Hue,2001-01-10,3.0999999046325684,22.799999237060547,87.0,1011.4000244140625,15.399999618530273,0.38999998569488525,1,Dry,3.0999999046325684,14.7999999076128,-0.030000001192092896
1,Hue,2001-01-11,4.800000190734863,22.200000762939453,90.0,1010.7999877929688,9.0,0.41999998688697815,1,Dry,7.900000095367432,12.900000289082527,0.030000001192092896
1,Hue,2001-01-12,2.9000000953674316,22.799999237060547,89.0,1011.5,13.199999809265137,0.4699999988079071,1,Dry,10.800000190734863,11.000000193715096,0.050000011920928955
1,Hue,2001-01-13,20.399999618530273,22.399999618530273,93.0,1013.2000122070312,12.199999809265137,0.8500000238418579,1,Dry,28.09999990463257,31.299999810755253,0.3800000250339508
1,Hue,2001-01-14,12.300000190734863,22.200000762939453,88.0,1014.0999755859375,20.899999618530273,1.8600000143051147,1,Dry,35.59999990463257,43.5,1.0099999904632568
1,Hue,2001-01-15,19.899999618530273,21.600000381469727,89.0,1016.0999755859375,17.299999237060547,2.059999942779541,1,Dry,52.59999942779541,63.39999961853027,0.19999992847442627
